Year,Player_Name,Matches_Batted,Not_Outs,Runs_Scored,Highest_Score,Batting_Average,Balls_Faced,Batting_Strike_Rate,Centuries,Half_Centuries,Fours,Sixes,Catches_Taken,Stumpings,Matches_Bowled,Balls_Bowled,Runs_Conceded,Wickets_Taken,Best_Bowling_Match,Bowling_Average,Economy_Rate,Bowling_Strike_Rate,Four_Wicket_Hauls,Five_Wicket_Hauls
,Aaron Hardie,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats
2024.0,Abdul Samad,16,2,182,37*,18.2,108,168.52,0,0,15,11,9,0,16,0,0,0,0,0,0,0,0,0
2023.0,Abdul Samad,9,4,169,37*,42.25,128,132.03,0,0,10,11,4,0,9,0,0,0,0,0,0,0,0,0
2022.0,Abdul Samad,2,0,4,4,2.0,7,57.14,0,0,0,0,1,0,2,6,8,0,0/8,0,8.00,0,0,0
2021.0,Abdul Samad,11,1,111,28,12.33,87,127.58,0,0,4,8,8,0,11,6,9,1,1/9,9.00,9.00,6.00,0,0
2020.0,Abdul Samad,12,3,111,33,22.2,65,170.76,0,0,8,6,5,0,12,42,96,1,1/41,96.00,13.71,42.00,0,0
,Abhinandan Singh,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats
2024.0,Abhinav Manohar,2,0,9,8,4.5,16,56.25,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0
2023.0,Abhinav Manohar,9,0,114,42,19.0,83,137.35,0,0,6,7,4,0,9,0,0,0,0,0,0,0,0,0
2022.0,Abhinav Manohar,8,1,108,43,18.0,75,144.0,0,0,14,3,4,0,8,0,0,0,0,0,0,0,0,0
2024.0,Abhishek Sharma,16,1,484,75*,32.27,237,204.22,0,3,36,42,7,0,16,42,51,2,2/24,25.50,7.29,21.00,0,0
2023.0,Abhishek Sharma,11,0,226,67,20.55,157,143.95,0,2,28,6,4,0,11,72,124,2,1/26,62.00,10.33,36.00,0,0
2022.0,Abhishek Sharma,14,0,426,75,30.43,320,133.13,0,2,47,13,1,0,14,24,38,0,0/10,0,9.50,0,0,0
2021.0,Abhishek Sharma,8,1,98,33,16.33,75,130.66,0,0,7,4,2,0,8,60,64,4,2/4,16.00,6.40,15.00,0,0
2020.0,Abhishek Sharma,8,2,71,31,14.2,56,126.78,0,0,6,3,1,0,8,60,91,2,1/15,45.50,9.10,30.00,0,0
2019.0,Abhishek Sharma,3,1,9,5*,4.5,9,100.0,0,0,1,0,2,0,3,12,21,1,1/10,21.00,10.50,12.00,0,0
2018.0,Abhishek Sharma,3,2,63,46*,63.0,33,190.9,0,0,3,5,1,0,3,0,0,0,0,0,0,0,0,0
2024.0,Abishek Porel,14,2,327,65,32.7,205,159.51,0,2,36,13,2,0,14,0,0,0,0,0,0,0,0,0
2023.0,Abishek Porel,4,0,33,20,8.25,31,106.45,0,0,1,2,4,0,4,0,0,0,0,0,0,0,0,0
2020.0,Adam Zampa,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,66,92,2,1/12,46.0,8.36,33.0,0,0
2017.0,Adam Zampa,6.0,0.0,5.0,5,5.0,7.0,71.42,0.0,0.0,1.0,0.0,0.0,0.0,6,119,163,7,2/22,23.28,8.21,17.0,0,0
2016.0,Adam Zampa,5.0,0.0,0.0,0*,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,102,115,12,6/19,9.58,6.76,8.5,0,1
2024.0,Aiden Markram,11,2,220,50,24.44,177,124.29,0,1,18,4,5,0,11,12,15,0,0/5,0,7.5,0,0,0
2023.0,Aiden Markram,13,2,248,50,22.55,197,125.89,0,1,18,8,11,0,13,49,70,1,1/24,70.00,8.57,49.00,0,0
2022.0,Aiden Markram,14,4,381,68*,47.63,274,139.05,0,3,25,19,6,0,14,36,64,1,1/8,64.00,10.67,36.00,0,0
2021.0,Aiden Markram,6,1,146,42,29.2,119,122.68,0,0,12,4,3,0,6,24,23,0,0/5,0,5.75,0,0,0
,Ajay Mandal,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats
2024.0,Ajinkya Rahane,13,0,242,45,20.17,196,123.47,0,0,23,7,1,0,13.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
2023.0,Ajinkya Rahane,14,1,326,71*,32.6,189,172.49,0,2,24,16,8,0,14.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
2022.0,Ajinkya Rahane,7,0,133,44,19.0,128,103.91,0,0,14,4,3,0,7.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
2021.0,Ajinkya Rahane,2,0,8,8,8.0,8,100.0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
2020.0,Ajinkya Rahane,9,0,113,60,14.12,107,105.6,0,1,12,2,4,0,9.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
2019.0,Ajinkya Rahane,14,1,393,105*,32.75,285,137.89,1,1,45,9,5,0,14.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
2018.0,Ajinkya Rahane,15,1,370,65*,28.46,313,118.21,0,1,39,5,4,0,15.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
2017.0,Ajinkya Rahane,16,1,382,60,25.46,323,118.26,0,2,35,9,7,0,16.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
2016.0,Ajinkya Rahane,14,3,480,74,43.63,379,126.64,0,6,54,9,7,0,14.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
2015.0,Ajinkya Rahane,14,2,540,91*,49.09,413,130.75,0,4,53,13,3,0,14.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
2014.0,Ajinkya Rahane,13,0,339,72,28.25,291,116.49,0,3,38,3,6,0,13.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
2013.0,Ajinkya Rahane,18,4,488,68*,34.85,458,106.55,0,4,42,11,10,0,18.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
2012.0,Ajinkya Rahane,16,2,560,103*,40.0,433,129.33,1,3,73,10,11,0,16.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
2011.0,Ajinkya Rahane,10,1,120,52,20.0,98,122.44,0,1,12,2,1,0,10.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
2009.0,Ajinkya Rahane,8,1,144,62*,24.0,123,117.07,0,2,12,3,1,0,8.0,6.0,5.0,1.0,1/5,5.00,5.00,6.00,0.0,0.0
2008.0,Ajinkya Rahane,2,0,4,4,2.0,17,23.52,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
2024.0,Akash Deep,1,1,2,2*,0,2,100.0,0,0,0,0,0,0,1,21,55,1,1/55,55.0,15.71,21.0,0,0
2023.0,Akash Deep,2,0,17,17,17.00,8,212.5,0,0,2,1,1,0,2,30,59,1,1/29,59.0,11.8,30.0,0,0
2022.0,Akash Deep,5,0,0,0,0.00,2,0.0,0,0,0,0,2,0,5,113,205,5,3/45,41.0,10.88,22.6,0,0
2024.0,Akash Madhwal,5,1,4,4*,0,5.0,80.00,0,0,0,0,1,0,5,109,205,5,3/20,41.0,11.28,21.8,0,0
2023.0,Akash Madhwal,8,0,0,0,0,0.0,0,0,0,0,0,0,0,8,153,219,14,5/5,15.64,8.59,10.93,1,1
2023.0,Akash Singh,6.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,6,114,188,5,2/40,37.60,9.89,22.80,0,0
2021.0,Akash Singh,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,24,39,0,0/39,0,9.75,0,0,0
2024.0,Andre Russell,14,2,222,64*,31.71,120,185.0,0,1,20,16,3,0,15,176,295,19,3/19,15.53,10.06,9.26,0,0
2023.0,Andre Russell,14,3,227,42,20.64,156,145.51,0,0,13,18,6,0,14,91,172,7,3/22,24.57,11.34,13.00,0,0
2022.0,Andre Russell,14,3,335,70*,37.22,192,174.48,0,1,18,32,2,0,14,169,278,17,4/5,16.35,9.87,9.94,1,0
2021.0,Andre Russell,10,2,183,54,26.14,120,152.5,0,1,14,14,2,0,10,114,188,11,5/15,17.09,9.89,10.36,0,1
2020.0,Andre Russell,10,0,117,25,13.0,81,144.44,0,0,9,9,2,0,10,108,175,6,2/29,29.16,9.72,18.00,0,0
2019.0,Andre Russell,14,4,510,80*,56.66,249,204.81,0,4,31,52,4,0,14,181,287,11,2/21,26.09,9.51,16.45,0,0
2018.0,Andre Russell,16,3,316,88*,28.72,171,184.79,0,1,17,31,8,0,16,227,355,13,3/31,27.30,9.38,17.46,0,0
2016.0,Andre Russell,12,1,188,39*,26.85,114,164.91,0,0,10,15,2,0,12,219,291,15,4/20,19.40,7.97,14.60,1,0
2015.0,Andre Russell,13,2,326,66,36.22,169,192.89,0,3,35,19,6,0,13,244,324,14,3/32,23.14,7.96,17.42,0,0
2014.0,Andre Russell,2,0,2,1,1.0,8,25.0,0,0,0,0,0,0,2,30,52,1,1/25,52.00,10.4,30.00,0,0
2013.0,Andre Russell,3,0,11,7,5.5,14,78.57,0,0,0,0,0,0,3,42,68,0,0/13,0,9.71,0,0,0
2012.0,Andre Russell,4,0,47,31,23.5,26,180.76,0,0,3,3,0,0,4,96,161,1,1/51,161.00,10.06,96.00,0,0
,Andre Siddarth,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats
2024.0,Angkrish Raghuvanshi,10,0,163,54,23.29,105,155.24,0,1,16,8,4,0,10,0,0,0,0,0,0,0,0,0
