Players,Team,Type,Base,Sold
Virat Kohli,Royal Challengers Bengaluru,BAT,-,21
Rajat Patidar,Royal Challengers Bengaluru,BAT,-,11
Yash Dayal,Royal Challengers Bengaluru,BOWL,-,5
Jasprit Bumrah,Mumbai Indians,BOWL,-,18
Suryakumar Yadav,Mumbai Indians,BAT,-,16.35
Hardik Pandya,Mumbai Indians,AR,-,16.35
Rohit Sharma,Mumbai Indians,BAT,-,16.3
Tilak Varma,Mumbai Indians,AR,-,8
Heinrich Klaasen,Sunrisers Hyderabad,BAT,-,23
Pat CumMumbai Indiansns,Sunrisers Hyderabad,AR,-,18
Abhishek Sharma,Sunrisers Hyderabad,AR,-,14
Travis Head,Sunrisers Hyderabad,BAT,-,14
Nitish Kumar Reddy,Sunrisers Hyderabad,AR,-,6
Ruturaj Gaikwad,Chennai Super Kings,BAT,-,18
Ravindra Jadeja,Chennai Super Kings,AR,-,18
Matheesha Pathirana,Chennai Super Kings,BOWL,-,13
Shivam Dube,Chennai Super Kings,AR,-,12
MS Dhoni,Chennai Super Kings,BAT,-,4
Axar Patel,Delhi Capitals,AR,-,16.5
Kuldeep Yadav,Delhi Capitals,BOWL,-,13.25
Tristan Stubbs,Delhi Capitals,BAT,-,10
Abishek Porel,Delhi Capitals,BAT,-,4
Rinku Singh,Kolkata Knight Riders,BAT,-,13
Varun Chakravarthy,Kolkata Knight Riders,AR,-,12
Sunil Narine,Kolkata Knight Riders,BOWL,-,12
Andre Russell,Kolkata Knight Riders,AR,-,12
Harshit Rana,Kolkata Knight Riders,BOWL,-,4
Ramandeep Singh,Kolkata Knight Riders,AR,-,4
Sanju Samson,Rajasthan Royals,BAT,-,18
Yashasvi Jaiswal,Rajasthan Royals,AR,-,18
Riyan Parag,Rajasthan Royals,AR,-,14
Dhruv Jurel,Rajasthan Royals,BAT,-,14
Shimron Hetmyer,Rajasthan Royals,BAT,-,11
Sandeep Sharma,Rajasthan Royals,BOWL,-,4
Rashid Khan,Gujarat Titans,BOWL,-,18
Shubman Gill,Gujarat Titans,BAT,-,16.5
Sai Sudharsan,Gujarat Titans,AR,-,8.5
Rahul Tewatia,Gujarat Titans,AR,-,4
M Shahrukh Khan,Gujarat Titans,AR,-,4
Nicholas Pooran,Lucknow Super Giants,BAT,-,21
Ravi Bishnoi,Lucknow Super Giants,BOWL,-,11
Mayank Yadav,Lucknow Super Giants,BOWL,-,11
Mohsin Khan,Lucknow Super Giants,BOWL,-,4
Ayush Badoni,Lucknow Super Giants,AR,-,4
Shashank Singh,Punjab Kings,AR,-,5.5
Prabhsimran Singh,Punjab Kings,BAT,-,4
Jos Buttler,Gujarat Titans,BAT,2,15.75
Shreyas Iyer,Punjab Kings,BAT,2,26.75
Rishabh Pant,Lucknow Super Giants,BAT,2,27
Kagiso Rabada,Gujarat Titans,BOWL,2,10.75
Arshdeep Singh,Punjab Kings,BOWL,2,18
Mumbai Indianstchell Starc,Delhi Capitals,BOWL,2,11.75
Yuzvendra Chahal,Punjab Kings,BOWL,2,18
Liam Livingstone,Royal Challengers Bengaluru,AR,2,8.75
David Mumbai Indiansller,Lucknow Super Giants,BAT,1.5,7.5
KL Rahul,Delhi Capitals,BAT,2,14
Mohammed ShaMumbai Indians,Sunrisers Hyderabad,BOWL,2,10
Mohammed Siraj,Gujarat Titans,BOWL,2,12.25
HaRajasthan Royalsy Brook,Delhi Capitals,BAT,2,6.25
Devon Conway,Chennai Super Kings,BAT,2,6.25
Jake Fraser-McGurk,Delhi Capitals,BAT,2,9
Aiden Markram,Lucknow Super Giants,BAT,2,2
Devdutt Padikkal,Royal Challengers Bengaluru,BAT,2,2
Rahul Tripathi,Chennai Super Kings,BAT,0.75,3.4
Ravichandran Ashwin,Chennai Super Kings,AR,2,9.75
Venkatesh Iyer,Kolkata Knight Riders,AR,2,23.75
Mumbai Indianstchell Marsh,Lucknow Super Giants,AR,2,3.4
Glenn Maxwell,Punjab Kings,AR,2,4.2
Harshal Patel,Sunrisers Hyderabad,AR,2,8
Rachin Ravindra,Chennai Super Kings,AR,1.5,4
Marcus Stoinis,Punjab Kings,AR,2,11
Quinton de Kock,Kolkata Knight Riders,BAT,2,3.6
Rahmanullah Gurbaz,Kolkata Knight Riders,BAT,2,2
Ishan Kishan,Sunrisers Hyderabad,BAT,2,11.25
Phil Salt,Royal Challengers Bengaluru,BAT,2,11.5
Jitesh Sharma,Royal Challengers Bengaluru,BAT,1,11
Khaleel Ahmed,Chennai Super Kings,BOWL,2,4.8
Trent Boult,Mumbai Indians,BOWL,2,12.5
Josh Hazlewood,Royal Challengers Bengaluru,BOWL,2,12.5
Avesh Khan,Lucknow Super Giants,BOWL,2,9.75
Prasidh Krishna,Gujarat Titans,BOWL,2,9.5
T Natarajan,Delhi Capitals,BOWL,2,10.75
Anrich Nortje,Kolkata Knight Riders,BOWL,2,6.5
Noor Ahmad,Chennai Super Kings,BOWL,2,10
Rahul Chahar,Sunrisers Hyderabad,BOWL,1,3.2
Wanindu Hasaranga,Rajasthan Royals,BOWL,2,5.25
Maheesh Theekshana,Rajasthan Royals,BOWL,2,4.4
